Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,Converted
7927b2df-8bba-4d29-b9a2-b6e0beafe620,1.0,API,Olark Chat,No,No,0.0,0.0,0.0,Page Visited on Website,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Select,Select,02.Medium,02.Medium,0.7272727272727274,0.4444444444444444,No,No,Modified,0
2a272436-5132-4136-86fa-dcc88c88f482,0.99988916802128,API,Organic Search,No,No,0.0199203187250996,0.2966549295774648,0.045454545454545456,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,02.Medium,02.Medium,0.7272727272727274,0.4444444444444444,No,No,Email Opened,0
8cc8c611-a219-4f35-ad23-fdfd2656bd8a,0.9998768533569784,Landing Page Submission,Direct Traffic,No,No,0.00796812749003984,0.6742957746478874,0.03636363636363636,Email Opened,India,Business Administration,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,02.Medium,01.High,0.6363636363636364,1.0000000000000002,No,Yes,Email Opened,1
0cc2df48-7cf4-4e39-9de9-19797f9b38cc,0.9997783360425601,Landing Page Submission,Direct Traffic,No,No,0.00398406374501992,0.13424295774647887,0.01818181818181818,Unreachable,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,0.5454545454545455,0.6666666666666667,No,No,Modified,0
3256f628-e534-4826-9d63-4a8b88782852,0.9993103787990734,Landing Page Submission,Google,No,No,0.00796812749003984,0.6285211267605634,0.01818181818181818,Converted to Lead,India,Select,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,0.7272727272727274,0.7777777777777779,No,No,Modified,1
2058ef08-2858-443e-a01f-a9237db2f5ce,0.9992980641347717,API,Olark Chat,No,No,0.0,0.0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,0.9090909090909091,0.4444444444444444,No,No,Modified,0
9fae7df4-169d-489b-afe4-0f3d752542ed,0.9992118614846568,Landing Page Submission,Google,No,No,0.00796812749003984,0.721830985915493,0.03636363636363636,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,0.6363636363636364,1.0000000000000002,No,No,Modified,1
20ef72a2-fb3b-45e0-924e-551c5fa59095,0.999101029505935,API,Olark Chat,No,No,0.0,0.0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,0.7272727272727274,0.4444444444444444,No,No,Modified,0
cfa0128c-a0da-4656-9d47-0aa4e67bf690,0.9986084429338451,Landing Page Submission,Direct Traffic,No,No,0.00796812749003984,0.03125,0.03636363636363636,Email Opened,India,IT Projects Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Thane & Outskirts,02.Medium,02.Medium,0.6363636363636364,0.33333333333333326,No,Yes,Email Opened,0
af465dfc-7204-4130-9e05-33231863c4b5,0.9985099256194285,API,Google,No,No,0.01593625498007968,0.025528169014084508,0.07272727272727272,Email Opened,India,Finance Management,Word Of Mouth,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,02.Medium,0.5454545454545455,0.5555555555555556,No,No,Email Opened,0
2a369e35-ca95-4ca9-9e4f-9d27175aa320,0.9984114083050102,Landing Page Submission,Organic Search,No,No,0.03187250996015936,0.5946302816901409,0.14545454545454545,Email Opened,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Metro Cities,02.Medium,02.Medium,0.7272727272727274,0.33333333333333326,No,Yes,Email Opened,1
9bc8ce93-6144-49e0-9f9d-080fc980f83c,0.9979434510615235,Landing Page Submission,Direct Traffic,No,No,0.03187250996015936,0.5911091549295775,0.048545454545454544,Page Visited on Website,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,Select,Thane & Outskirts,02.Medium,01.High,0.6363636363636364,0.6666666666666667,No,Yes,Page Visited on Website,1
8bf76a52-2478-476b-8618-1688e07874ad,0.9978449337471069,API,Organic Search,No,No,0.043824701195219126,0.6769366197183099,0.19999999999999998,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,01.High,02.Medium,0.8181818181818182,0.5555555555555556,No,No,Modified,1
88867067-3750-4753-8d33-1c7d1db53b5e,0.9977956750898969,Landing Page Submission,Organic Search,No,No,0.0199203187250996,0.07482394366197183,0.09090909090909091,Email Opened,India,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Thane & Outskirts,02.Medium,01.High,0.6363636363636364,0.6666666666666667,No,Yes,Email Opened,0
a8531c22-fcf1-48f8-a711-fb5abf98ad87,0.9977341017683852,Landing Page Submission,Direct Traffic,Yes,No,0.00398406374501992,0.21170774647887325,0.01818181818181818,Email Bounced,Russia,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,01.High,01.High,0.8181818181818182,0.6666666666666667,No,No,Email Bounced,0
25f4ac14-ff4b-4cd2-9c61-b44c85e19c8f,0.9976602137825719,API,Organic Search,No,No,0.02390438247011952,0.4454225352112676,0.10909090909090909,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,02.Medium,0.6363636363636364,0.4444444444444444,No,No,Email Opened,1
